client_id,client_name,invoice_date,due_date,amount,status,days_overdue,category,industry,sector,credit_limit,risk_score
C001,Gamma S.p.A.,2024-01-15,2024-02-14,45000,paid,0,Corporate,Manufacturing,A,120000,Low
C001,Gamma S.p.A.,2024-02-20,2024-03-21,52000,paid,0,Corporate,Manufacturing,A,120000,Low
C001,Gamma S.p.A.,2024-03-15,2024-04-14,48000,paid,0,Corporate,Manufacturing,A,120000,Low
C002,Delta S.r.l.,2024-01-10,2024-02-09,35000,paid,0,SME,Services,B,80000,Medium
C002,Delta S.r.l.,2024-02-15,2024-03-16,42000,paid,5,Corporate,Services,B,80000,Medium
C002,Delta S.r.l.,2024-03-20,2024-04-19,38000,overdue,45,SME,Services,B,80000,Medium
C003,Epsilon S.p.A.,2024-01-25,2024-02-24,62000,paid,0,Corporate,Technology,A,150000,Low
C003,Epsilon S.p.A.,2024-02-28,2024-03-29,58000,paid,0,Corporate,Technology,A,150000,Low
C003,Epsilon S.p.A.,2024-03-25,2024-04-24,55000,overdue,120,Corporate,Technology,A,150000,Low
C004,Zeta Corporation,2024-01-08,2024-02-07,28000,paid,0,Corporate,Retail,A,60000,Low
C004,Zeta Corporation,2024-02-12,2024-03-13,31000,paid,0,Corporate,Retail,A,60000,Low
C004,Zeta Corporation,2024-03-18,2024-04-17,29500,overdue,15,Corporate,Retail,A,60000,Low
C005,Eta Services,2024-01-20,2024-02-19,18000,paid,0,SME,Services,C,40000,Medium
C005,Eta Services,2024-02-25,2024-03-26,22000,overdue,30,SME,Services,C,40000,Medium
C005,Eta Services,2024-03-22,2024-04-21,19500,overdue,90,SME,Services,C,40000,Medium
C006,Theta Industries,2024-01-30,2024-03-01,75000,paid,0,Corporate,Manufacturing,A,200000,Low
C006,Theta Industries,2024-03-05,2024-04-04,82000,paid,0,Corporate,Manufacturing,A,200000,Low
C006,Theta Industries,2024-04-10,2024-05-10,78000,paid,0,Corporate,Manufacturing,A,200000,Low
C007,Iota Financial,2024-02-05,2024-03-06,42000,overdue,180,Corporate,Financial,A,100000,Low
C007,Iota Financial,2024-02-28,2024-03-29,45000,overdue,180,Corporate,Financial,A,100000,Low
C008,Kappa Logistics,2024-01-12,2024-02-11,25000,paid,0,SME,Logistics,B,50000,Medium
C008,Kappa Logistics,2024-02-18,2024-03-19,28000,overdue,25,SME,Logistics,B,50000,Medium
C008,Kappa Logistics,2024-03-25,2024-04-24,23000,overdue,65,SME,Logistics,B,50000,Medium
C009,Lambda Tech,2024-01-22,2024-02-21,55000,paid,0,Corporate,Technology,A,140000,Low
C009,Lambda Tech,2024-02-26,2024-03-27,61000,paid,0,Corporate,Technology,A,140000,Low
C009,Lambda Tech,2024-04-01,2024-05-01,58000,paid,0,Corporate,Technology,A,140000,Low
C010,Mu Consulting,2024-01-18,2024-02-17,15000,overdue,200,SME,Services,C,30000,High
C010,Mu Consulting,2024-02-22,2024-03-23,18000,overdue,200,SME,Services,C,30000,High
C010,Mu Consulting,2024-03-28,2024-04-27,16500,overdue,200,SME,Services,C,30000,High
C011,Nu Construction,2024-01-08,2024-02-07,92000,paid,0,Corporate,Construction,B,180000,Medium
C011,Nu Construction,2024-02-15,2024-03-16,88000,paid,0,Corporate,Construction,B,180000,Medium
C011,Nu Construction,2024-03-20,2024-04-19,95000,overdue,10,Corporate,Construction,B,180000,Medium
C012,Xi Energy,2024-02-01,2024-03-02,125000,paid,0,Corporate,Energy,A,300000,Low
C012,Xi Energy,2024-03-10,2024-04-09,118000,paid,0,Corporate,Energy,A,300000,Low
C012,Xi Energy,2024-04-15,2024-05-15,132000,paid,0,Corporate,Energy,A,300000,Low
C013,Omicron Retail,2024-01-25,2024-02-24,33000,overdue,85,SME,Retail,C,60000,High
C013,Omicron Retail,2024-02-28,2024-03-29,28000,overdue,85,SME,Retail,C,60000,High
C013,Omicron Retail,2024-04-05,2024-05-05,31000,overdue,85,SME,Retail,C,60000,High
C014,Pi Manufacturing,2024-01-15,2024-02-14,67000,paid,0,Corporate,Manufacturing,B,150000,Medium
C014,Pi Manufacturing,2024-02-20,2024-03-21,71000,paid,0,Corporate,Manufacturing,B,150000,Medium
C014,Pi Manufacturing,2024-03-28,2024-04-27,69000,paid,0,Corporate,Manufacturing,B,150000,Medium
C015,Rho Healthcare,2024-01-30,2024-03-01,44000,paid,0,Corporate,Healthcare,A,100000,Low
C015,Rho Healthcare,2024-03-05,2024-04-04,46000,paid,0,Corporate,Healthcare,A,100000,Low
C015,Rho Healthcare,2024-04-12,2024-05-12,42000,paid,0,Corporate,Healthcare,A,100000,Low
